DATE,YEAR,LOCATION,OPERATOR,AIRCRAFT_TYPE,TOTAL_FATALITIES,PASSENGER_FATALITIES,CREW_FATALITIES
09/17/1908,1908,"Fort Myer, Virginia",Military - U.S. Army Air Forces,Wright Flyer III,1,1,0
09/07/1909,1909,"Juvisy-sur-Orge, France",Unknown,Wright Byplane,1,0,0
07/12/1912,1912,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,0,5
08/06/1913,1913,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,0,1
10/01/1916,1916,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,0,19
12/16/1918,1918,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1
05/25/1919,1919,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1
07/19/1919,1919,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1
07/21/1919,1919,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,FD Type Dirigible,3,2,1
08/02/1919,1919,"Verona, Italy",Caproni Company,Caproni Ca.48,14,12,2
10/02/1919,1919,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,0,1
10/14/1919,1919,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,0,1
10/20/1919,1919,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,De Havilland DH-4,0,0,0
10/30/1919,1919,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,0,1
12/11/1919,1919,"Catherham, Surrey, UK",Aircraft Travel Transport,De Havilland DH-4,1,1,1
03/10/1920,1920,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1
03/30/1920,1920,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1
04/10/1920,1920,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,1,0,1
04/11/1920,1920,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,1,0,1
05/12/1920,1920,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,1,1,0
06/06/1920,1920,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1
07/20/1920,1920,"Cartagena, Columbia",Compania Colombiana de Navegacion Aerea,Farman F-40,1,1,1
08/16/1920,1920,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1,0,1
08/16/1920,1920,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1,0,1
09/01/1920,1920,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2,0,2
09/27/1920,1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1
10/02/1920,1920,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2,1,1
10/05/1920,1920,"Valencia, Spain",Latecoere Airlines,Breguet 14,2,1,1
10/15/1920,1920,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1,0,1
11/07/1920,1920,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,0,1
12/14/1920,1920,"London, England",Handley Page Transport,Handley Page HP-16,4,2,2
12/24/1920,1920,"Barcelona, Spain",Aeropostale,Breguet 14,1,0,1
02/03/1921,1921,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1,0,1
02/09/1921,1921,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3,0,3
02/15/1921,1921,Off Gibraltar,Aeropostale,Breguet 14,2,0,2
02/22/1921,1921,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1,0,1
04/06/1921,1921,"Point Cook, Australia",Military - Royal Australian Air Force,Avro 504,2,0,0
04/21/1921,1921,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1,0,1
04/29/1921,1921,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1
05/17/1921,1921,"Rock Springs, Wyoming",US Aerial Mail Service,De Havilland DH-4 De Havilland DH-4,1,0,1
08/24/1921,1921,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),46,0,46
09/06/1921,1921,"Paris, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez IX,5,4,1
12/05/1921,1921,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,2,0,2
01/14/1922,1922,"Paris, France",Handley Page Transport,Handley Page O/10,5,4,1
03/22/1922,1922,North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),5,5,0
04/07/1922,1922,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,De Havilland DH-18 / Farman F-60 Goliath,7,5,2
06/03/1922,1922,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,3,2,1
07/04/1922,1922,"Fuhlsbuttel, Germany",Unknown,LVG C VI,2,1,1
07/16/1922,1922,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,5,4,1
07/26/1922,1922,"Cadix, Spain",Grands Express Aeriens,Breguet 14,3,2,1
09/07/1922,1922,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1
10/02/1922,1922,"Venice, Italy",De Havilland Air Service,De Havilland DH-9,4,3,1
10/25/1922,1922,"Larache, Morocco",Grands Express Aeriens,Breguet 14,2,1,1
12/03/1922,1922,"Fez, Morocco",Grands Express Aeriens,Breguet 14,1,0,1
01/10/1923,1923,"Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,3,1,2
01/17/1923,1923,"Barcelona, Spain",Grands Express Aeriens,Breguet 14,1,0,1
01/18/1923,1923,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,0,1
02/26/1923,1923,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1
05/14/1923,1923,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,6,4,2
08/27/1923,1923,"East Mallling, United Kingdom",Air Union,Farman F.60 Goliath,1,1,0
08/27/1923,1923,"Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,2,1,1
09/07/1923,1923,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1
09/14/1923,1923,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,De Havilland DH-34,5,3,2
11/18/1923,1923,Russia,CCCP,Junkers F-13,3,1,2
12/06/1923,1923,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1
12/24/1923,1923,"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1,0,1
03/07/1924,1924,"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1
04/24/1924,1924,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3,2,1
06/08/1924,1924,"Barranquilla, Colombia",SCADTA,Junkers F-13,5,3,2
08/01/1924,1924,United States,US Aerial Mail Service,De Havilland DH-4,1,0,1
11/06/1924,1924,"Cabrerolles, France",Grands Express Aeriens,Breguet 14,1,0,1
12/21/1924,1924,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1
12/24/1924,1924,"Purley, England",Imperial Airways,De Havilland DH-34B,8,7,1
03/22/1925,1925,"Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,5,3,2
04/25/1925,1925,"Alicante, Spain",Grands Express Aeriens,Breguet 14,3,1,2
06/25/1925,1925,"Landrécies, France",KLM Royal Dutch Airlines,Fokker F.III,4,3,1
06/26/1925,1925,"Alicante, Spain",Grands Express Aeriens,Lioré-et-Olivier LeO H-13,2,0,2
07/20/1925,1925,"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1,0,1
07/24/1925,1925,"Budapest, Hungary",CIDNA,Potez IX,1,0,1
10/01/1925,1925,"Mt. Nittany, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1
11/14/1925,1925,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,1,0,1
02/12/1926,1926,"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1,0,1
03/08/1926,1926,"Staaken, Germany",Deutsche Lufthansa,Junkers F-13,1,0,1
05/31/1926,1926,English Channel,Air Union,Breguet 14,1,0,1
07/03/1926,1926,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aerienne,Caudron C-61,6,4,2
07/09/1926,1926,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F7,2,1,1
07/24/1926,1926,"Juist, Germany",Deutsche Lufthansa,Junkers F-13,5,4,1
08/18/1926,1926,"Hurst, Kent, England",Air Union,Bleriot 155,3,2,1
09/26/1926,1926,"New York, New York",Unknown,Sikorsky S-25,2,2,0
10/02/1926,1926,"Leigh, Kent, Unied Kingdom",Air Union,Bleriot 155,7,5,2
10/08/1926,1926,"Bueren, Germany",Deutsche Lufthansa,Fokker FG III,4,3,1
10/21/1926,1926,English Channel,Imperial Airways,Handley Page W-10,0,0,0
11/11/1926,1926,"Cape Bojador, Morocco",Grands Express Aeriens,Breguet 14,3,3,0
12/16/1926,1926,"Medford, Oregon",Pacific Air Transport,Ryan M-1,1,0,1
01/12/1927,1927,"Estaires, France",Fokker,Fokker F-VII,0,0,2
03/20/1927,1927,"Rabat, Morocco",Grands Express Aeriens,Breguet 14,1,0,1
03/24/1927,1927,"Tambo, Qld, Australia",Qantas,De Havilland DH-9C,3,2,1
04/15/1927,1927,"King Hill, Idaho",Varney Air Lines,Swallow Swallow,1,0,1
04/22/1927,1927,"Floh, Germany",Deutsche Lufthansa,Fokker FG III,2,1,1
04/22/1927,1927,"Goshen, Indiana",US Aerial Mail Service,Douglas M-4,1,0,1
05/02/1927,1927,"Algiers, Algeria",Air Union,SPCA Meteore 63,1,0,1
07/27/1927,1927,"Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,5,3,2
08/22/1927,1927,"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,1,0,1
09/03/1927,1927,"Willington, Connecticut",Colonial Air Transport,Fokker Universal,1,0,1
09/17/1927,1927,"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,7,6,1
09/17/1927,1927,Atlantic Ocean,Private,Fokker F7,3,1,2
09/23/1927,1927,"Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,6,4,2
10/06/1927,1927,"Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,2,0,2
10/30/1927,1927,"New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4,3,1
11/08/1927,1927,"Strasburg, France",CIDNA,Farman F-121 Jabiru,1,0,1
11/16/1927,1927,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,4,2
11/29/1927,1927,"Corunna, Indiana",National Air Transport,Douglas M-4,1,0,1
12/28/1927,1927,"Almeria, Spain",Aeropostale,Breguet 14,1,0,1
12/31/1927,1927,"Near Marseille,France",Latecoere Airlines,Latecoere 23 (flying boat),5,0,5
01/08/1928,1928,"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3,1,2
01/16/1928,1928,"Solis, Uruguay",Aeropostale,Latecoere 25,2,0,2
01/22/1928,1928,"L'Hospitalet, Ariège",Aeropostale,Breguet 14,1,0,1
01/22/1928,1928,"Tarragona, Spain",Aeropostale,Breguet 14,2,0,2
01/27/1928,1928,"Almeria, Spain",Aeropostale,Breguet 14,1,0,1
02/26/1928,1928,"Marquette, Nebraska",Boeing Air Transport,Boeing 40,1,1,0
03/11/1928,1928,"Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,2,0,2
04/17/1928,1928,"Federal, Wyoming",Boeing Air Transport,Boeing 40,1,1,0
04/19/1928,1928,"Minuesa, Spain",Iberia Airlines,Rohrbach Roland,9,7,2
05/07/1928,1928,"Brazil Florianopolis, Brazil",Aeropostale,Latecoere 26,1,1,0
05/12/1928,1928,"Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,2,0,2
05/26/1928,1928,"Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,3,2,1
06/14/1928,1928,"Frankfurt, Germany",Deutsche Lufthansa,AEGK,5,4,1
06/22/1928,1928,"Lebo, Kansas",National Air Transport,Douglas M-4,1,0,1
07/10/1928,1928,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,4,2
07/13/1928,1928,"Purley, England",Imperial Airways,Vickers 74 Vulcan,4,4,0
07/24/1928,1928,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,1,1,0
08/25/1928,1928,"Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,7,5,2
09/02/1928,1928,"Toul, France",CIDNA,Bleriot Spad 33,5,2,3
09/04/1928,1928,"Adelaide Hills, Australia",Qantas,De Havilland DH.50J,1,0,1
09/04/1928,1928,"Pocatello, Idaho",National Parks Airways,Fokker Super Universal,7,6,1
09/06/1928,1928,"Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,3,2,1
10/04/1928,1928,"Gerona, Spain",Aeropostale,Breguet 14,3,2,1
10/18/1928,1928,"Polk, Pennsylvania",National Air Transport,Douglas M-4,1,0,1
10/31/1928,1928,"Valence, France",Air Union,Bleriot Spad 56,1,0,1
11/15/1928,1928,Off Gibraltar,Aeropostale,Latecoere 32,1,0,1
11/24/1928,1928,"Edgerton, Ohio",Universal Airlines,Hamilton H-47,3,2,1
11/25/1928,1928,"Edgerton, Ohio",Continental Air Lines,Travel Air 4000,1,0,1
11/25/1928,1928,"Bristolville, Ohio",National Air Transport,Douglas M-4,1,0,1
12/01/1928,1928,"Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,5,4,1
12/03/1928,1928,"Near Rio de Janeiro,Brazil",Syndicato Condor,Dornier Wal,14,9,5
12/10/1928,1928,"Spokan, Washington",Spokane Airways,Ford Tri-motor 4,5,3,2
12/11/1928,1928,"Letzlingen, Germany",Deutsche Lufthansa,Junkers G-31,3,0,3
12/20/1928,1928,"Huron, Ohio",National Air Transport,Douglas M-4,1,0,1
12/23/1928,1928,"Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,4,3,1
12/31/1928,1928,"Reims, France",CIDNA,Blériot Spad 66,2,2,0
01/05/1929,1929,"Stafford Springs, Connecticut",Colonial Air Transport,Fairchild FC-2,1,0,1
01/18/1929,1929,"Cove, Oregon",Varney Air Lines,Stearman C-38,1,0,1
01/25/1929,1929,"Near Corfu, Greece",Aeroespresso,CMASA Wal,2,7,2
01/31/1929,1929,Off Morocco,Aeropostale,Latecoere 26,2,0,2
01/31/1929,1929,"Morgantown, West Virginia",Skyline Transportation Company,Travel Air 4000,1,0,1
03/17/1929,1929,"Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,14,13,1
03/30/1929,1929,"Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,4,3,1
04/21/1929,1929,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,6,3,3
05/09/1929,1929,"Tampico, Mexico",Mexicana,Ford Tri-motor 4,5,4,1
05/18/1929,1929,"Tököl,  Pest Hungary",MALERT,Fokker F-III,2,0,2
05/22/1929,1929,Algiers,Aeropostale,Cams 53,4,3,2
06/13/1929,1929,"Santiago de Cuba, Cuba",Pan American Airways,Fokker F-X,2,1,1
06/14/1929,1929,"Barcelona, Spain",Aeropostale,Breguet 14,1,0,1
06/17/1929,1929,"Off Dungeness, England",Imperial Airways,Handley Page W-10,7,7,0
06/24/1929,1929,"St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,1,0,1
06/29/1929,1929,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,Domier Delphin III (flying boat),5,4,1
06/29/1929,1929,"Columbus, Ohio",Continental Air Lines,Travel Air 4000,1,0,1
08/11/1929,1929,"Clovis, New Mexico",Middle States Airlines,Lockheed 5 Vega,4,2,2
08/24/1929,1929,"Sochi, Russia",Ukvozduchput,Kalinin K-4,1,0,1
08/24/1929,1929,"Elm, Germany",Deutsche Lufthansa,Fokker FG II,4,3,1
09/02/1929,1929,"Needles, California",Associated Aviators,Lockheed Vega,1,0,1
09/03/1929,1929,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8,5,3
09/06/1929,1929,"Jask, Iran",Imperial Airways,De Havilland DH-66 Hercules,3,1,2
09/14/1929,1929,North Atlantic Ocean,Aeropostale,Latecoere 25,6,4,2
09/14/1929,1929,"Saint Catharines, Ontario",Skyways,Travel Air 6000,6,5,1
09/17/1929,1929,"Mt Lamentation, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,0,1
09/17/1929,1929,"Off Larache, Morocco",Aeropostale,Latecoere 25-3-R,5,3,2
09/17/1929,1929,"Jacumba, California",Pickwick Airways,Fairchild 71,1,0,1
10/26/1929,1929,"Off Spezia, Italy",Imperial Airways,Short Calcutta (flying boat),7,5,2
10/29/1929,1929,"Mount Vernon, Ohio",Continental Air Lines,Stearman C-38,1,0,1
10/31/1929,1929,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,2,0,2
11/04/1929,1929,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,4,3,1
11/06/1929,1929,"Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,7,3,4
11/16/1929,1929,"Off Corsica, France",Air Union,Liore et Olivier 190,3,0,3
11/20/1929,1929,"Terranova Pausania, East Sardinia",S.A.M. Societa Aerea Mediterranea,Savoia Marchetti S55,1,1,0
11/30/1929,1929,"Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,1,0,1
12/02/1929,1929,"Chagrin Falls, Ohio",National Air Transport,Douglas M-3,1,0,1
12/19/1929,1929,"Near Berlin, Germany",Deutsche Lufthansa,Arado V1,2,0,2
12/30/1929,1929,"Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,5,3,2
01/10/1930,1930,"Brawnson, Nebraska",Boeing Air Transport,Boeing 95,1,0,1
01/13/1930,1930,"Antananarivo, Madagascar",Air Orient,Farman 190,3,0,3
01/19/1930,1930,"Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,16,14,2
01/25/1930,1930,"Off Ceuta, Spain",Aeropostale,Latecoere 25,2,0,2
01/27/1930,1930,"Kansas City, Missouri",Central  Airlines (Universal Aviation Corporation),Travel Air A6000A,5,4,1
02/03/1930,1930,"Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,0,1
02/10/1930,1930,"Marden, England",Air Union,Farman F-63,2,2,0
04/18/1930,1930,"Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,4,3,1
05/10/1930,1930,"Buenos Aires, Argentina",Aeropostale,Latecoere 28,3,1,2
06/05/1930,1930,"Boston, Massachusetts",Colonial Air Transport,Ford Tri-Motor 5,1,1,0
07/07/1930,1930,"Bornholm, Denmark",Deutsche Lufthansa,Dornier Wal,5,4,1
07/10/1930,1930,"Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,5,4,1
07/21/1930,1930,"Near Meopham, Kent, England",Walcot Air Line,Junkers F-13ge,6,4,2
08/22/1930,1930,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,10,9,1
09/11/1930,1930,"Croydon, England",Sabena,Sabca F-VII,2,0,2
09/25/1930,1930,"Edmonton, Alberta, Canada",Western Canada Airways,Boeing 40,3,2,1
10/06/1930,1930,"Dresden, Germany",Deutsche Lufthansa,Messerschmitt M-20B,8,6,2
10/12/1930,1930,"La Rache, Morocco",Aeropostale,Latecoere 28,4,3,1
10/13/1930,1930,"Perth, Australia",Wings Ltd,De Havilland DH.80 Puss Moth,3,2,1
10/28/1930,1930,"Prince Rupert, BC, Canada",Alaska-Washington Airways,Lockheed Vega,3,2,1
10/30/1930,1930,"Near Neufchatel, France",Imperial Airways,Handley Page W-8,3,2,1
10/30/1930,1930,"Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,1,0,1
11/07/1930,1930,"Off of Santos, Brazil",Syndicato Condor,Junkers G-24,1,1,0
11/18/1930,1930,"Techachapi Mountains, California",Pacific Air Transport,Boeing 40,3,0,3
12/09/1930,1930,"Shanghai, China",China National Aviation Corporation,Loening C-W Air Yaht,4,2,2
01/08/1931,1931,"Melle, Belgium",Sabena,Fokker F-VII,2,0,2
01/22/1931,1931," Bluff Mountain, Washington",Varney Air Lines,Boeing 40,1,0,1
02/08/1931,1931,"Wairoa, New Zealand",Dominion Air Lines,Desoutter II,3,2,1
02/20/1931,1931,"Bagot, Manitoba, Canada",Western Canada Airways,Fokker Universal F-14,2,2,0
02/24/1931,1931,Off Spain,Aeropostale,Latecoere 32,1,0,1
03/21/1931,1931,"New South Wales, Australia",Australian National Airways,Avro 10,8,6,2
03/31/1931,1931,"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,8,6,2
04/14/1931,1931,"Near Letschen, Germany",Deutsche Lufthansa,Messerschmitt M-20,2,0,2
05/05/1931,1931,"Burbank, California",Pacific Air Transport,Boeing 40,2,0,2
05/22/1931,1931,"Wampit, Australia",Guinea Airways,Junkers W-34,1,0,1
05/24/1931,1931,"Bellefonte, Pennsylvania",National Air Transport,Boeing 95,1,0,1
06/07/1931,1931,"Near Sandoway, Burma",Air Orient,Fokker F-VIIB,4,0,4
06/11/1931,1931,"Walbridge, Ohio",Rubner Flying Service,Lockheed Vega 2,2,0,2
06/13/1931,1931,"Saarbrucken, Germany",Deutsche Lufthansa,Dornier Merkur,4,2,2
07/12/1931,1931,"Chicago, Illinois",Braniff Airlines,Lockheed Vega,2,0,2
07/14/1931,1931,"Temora, Australia",Australian Aerial Services,Lasco Lascowl,2,0,2
07/21/1931,1931,"Centralia, Illinois",American Airways,Pitcairn PA-6 Mailwing,1,0,1
07/24/1931,1931,"Kurudjevo, Bulgaria",CIDNA,Fokker F-VII,7,5,2
08/09/1931,1931,"Cincinnati, Ohio",American Airways,Ford 5-AT-C Tri Motor,6,4,2
09/14/1931,1931,"Chicago, Illinois",Chicago-Detroit Airways,Lockheed Vega,1,0,1
09/15/1931,1931,"Near Craiova, Oltenia, Romania",CIDNA,Fokker F-VIIb-3m,6,4,2
09/16/1931,1931,"Oakland, California",Pacific Air Transport,Boeing 40,4,3,1
10/06/1931,1931,"Novia Scotia, Canada",Deutsche Lufthansa,Heinkel HE-2,3,0,3
10/14/1931,1931,Brazil,Syndicato Condor,Dornier Wal,3,0,3
11/05/1931,1931,"Camden, New Jersey","NY, Phil., Washington AW",Lockheed Orion 9,5,4,1
11/13/1931,1931,"Sir Lowry's pass, South Africa",Union Airways,De Havilland DH.80,3,2,1
11/23/1931,1931,"Salt Lake City, Utah",Boeing Air Transport,Boeing 40,1,0,1
11/24/1931,1931,"Near Tsinan, China",China National Aviation Corporation,Stinson,3,1,2
11/26/1931,1931,"Pasco, Washington",Varney Air Lines,Boeing 40,1,0,1
12/05/1931,1931,"Kewanee, Illinois",Braniff Airways,Lockheed Vega 5,2,2,0
12/06/1931,1931,"Bangkok, Thailand",KLM Royal Dutch Airlines,Fokker F-VIIb-3M,5,2,3
12/09/1931,1931,Off Algiers,Aeropostale,CAMS 56,2,0,2
12/31/1931,1931,"Springfield, Ohio",American Airways,Fairchild Pilgrim 100A,4,4,0
01/21/1932,1932,"Colvin Park, Ilinois",Northwest Airways,Stinson SM-2A,1,0,1
01/29/1932,1932,"Lebec, California",Century Pacific Lines,Stinson SM-6000B,8,7,1
02/01/1932,1932,"Off Miami, Florida",Bimini Airways,Fairchild,5,4,1
02/02/1932,1932,"Rio Vista, California",Boeing Air Transport,Boeing 40,1,0,1
02/02/1932,1932,"Marcellus, Michigan",Transamerican Airlines,Stearman C-3MB,1,0,1
02/27/1932,1932,"Off Setiba, Brazil",Aeropostale,Latecoere 28,3,0,3
03/08/1932,1932,"Saint Louis, Illinois",Century Air Lines,Stinson SM-6000B,3,0,3
03/19/1932,1932,"Calimesa, California",American Airways,Fokker F-10A,7,5,2
03/21/1932,1932,"Steubenville, Ohio",Trans Continental and Western Air,Northrop Alpha 3,1,0,1
03/29/1932,1932,"Rutbah Wells, Iraq",Air Orient,Farman F-190,3,1,2
03/31/1932,1932,"Bedford, Ohio",National Air Transport,Boeing 95,1,0,1
04/21/1932,1932,"Fort Wayne, Indiana",Transamerican Airlines,Stearman C-3MB,1,0,1
05/16/1932,1932,"Burbank, California",Pacific Air Transport,Boeing 40,3,2,1
05/30/1932,1932,"Portland, Oregon",Varney Air Lines,Boeing 40,1,0,1
07/16/1932,1932,"Mount El Plomo, near Vitacura, Chile",Panagra,Ford 5-AT-C Tri Motor,9,6,3
08/12/1932,1932,"Beyrouth, Lebanon",Air Orient,CAMS 53,0,0,0
08/31/1932,1932,"Tubergen, Germany",AB Aerotransport,Junkers G-23,2,0,2
09/08/1932,1932,"Salt Flats, Texas",American Airways,Fokker F-10,3,1,2
09/17/1932,1932,"Selsdon Park, England",Air Union,Liore-et-Olivier 213,1,0,1
09/18/1932,1932,"Byron Bay, Australia",New England Airways,De Havilland DH-80,3,2,1
10/12/1932,1932,"Port Etienne, Mauritania",Aeropostale,Latecoere 28,1,0,1
10/26/1932,1932,"Villa Monte, Bolivia",Lloyd Aero Boliviano,Ford Tri-motor 5,2,0,2
10/29/1932,1932,"Ramsgate, England",Deutsche Lufthansa,Junkers W-33,2,0,2
11/02/1932,1932,"Echterpfuhl, Germany",Deutsche Lufthansa,Junkers F-13,5,3,2
11/25/1932,1932,"Marianna, Arkansas",Hunter Airways,Travel Air 6000,2,1,1
12/14/1932,1932,"Amarillo, Texas",Trans Continental and Western Air,Ford 5,2,0,2
12/14/1932,1932,"Rocky Ridge, Colorado",Boeing Air Transport,Boeing 40,1,0,1
12/26/1932,1932,"Wau, Australia",Guinea Airways,De Havilland DH-60,1,0,1
01/10/1933,1933,Algiers,Aeropostale,CAMS 53,1,0,1
01/14/1933,1933,"Newark, New Jersey",Eastern Air Transport,Curtiss Condor 18,2,0,2
01/20/1933,1933,"Marietta, Georgia",American Airways,Stearman 4,1,0,1
01/20/1933,1933,"Bourne, Texas",American Airways,Stearman 4,1,0,1
01/24/1933,1933,"Eugene, Oregon",Pacific Air Transport,Ford 5-AT-D,2,0,2
03/11/1933,1933,"Near Mendoza, Argentina",Pan American Grace Airways,Fairchild FC-2W,2,0,2
03/25/1933,1933,"Hayward, California",Varney Air Lines,Lockheed Orion 9,3,2,1
03/28/1933,1933,"Near Dixmude, Belgium",Imperial Airways,Armstrong Whitworth Argosy II,15,12,3
04/03/1933,1933,"Hemkenrode, Germany",Deutsche Lufthansa,Junkers F-13,1,1,0
04/23/1933,1933,"Near Castrovillari, Calabria, Italy",Air Orient,Cams 53-1,5,2,3
04/29/1933,1933,"Traunstein, Germany",Eurasia,Junkers W-34,4,2,2
05/09/1933,1933,"Near Viladrau, Spain",Aeropostale - La Tecoere Company,Latecoere 28-1,6,3,3
06/04/1933,1933,"Bowling Green, Virginia",Eastern Air Transport,Pitcairns PA-6,1,0,1
06/11/1933,1933,"Glenview, Illinois",Palwaukee,Sikorsky S-38B (flying boat),9,7,2
07/18/1933,1933,Aegean Sea,Societa Anonima Aero Expresso Italiana,CMASA Wal (flying boat),6,2,4
08/29/1933,1933,"Quay, New Mexico",Trans Continental and Western Air,Ford 5-AT-B Tri Motor,5,3,2
09/12/1933,1933,"Near Ljubljana, Yugoslavia",Aeroput,Farman F-306,8,6,2
10/10/1933,1933,"Chesterton, Indiana",United Air Lines,Boeing 247,10,7,3
10/31/1933,1933,"Etobon, France",Air France,Farman F-301,2,1,1
