DATE,YEAR,LOCATION,OPERATOR,AIRCRAFT_TYPE,TOTAL_FATALITIES,PASSENGER_FATALITIES,CREW_FATALITIES
07/25/1995,1995,"Near Karamui, Papua New Guinea",Transniugini Airways,Britten-Norman BN-2A Islander,2,1,1
08/02/1995,1995,"Johannesburg, South Africa",Aero Air,Antonov An-2R,3,0,3
08/09/1995,1995,"Mt. Chichontepec, San Vincente, El Salvador",Aviateca,Boeing B-737-2H6,65,58,7
08/09/1995,1995,"Near Kaimana, Indonesia",Bourag Indonesia Airlines,Hawker Siddeley HS-748 2A,10,6,4
08/14/1995,1995,"Nevada del Huila, Colombia",AIRES Colombia,Embraer 110P1 Bandeirante,10,8,2
08/21/1995,1995,"Near Carrollton, Georgia",Atlantic Southeast Airlines,Embraer 120-RT Brasilia,10,9,1
09/01/1995,1995,"Near Farewell, Alaska",North Star Air Cargo,Shorts SC-7 Skyvan,1,0,1
09/02/1995,1995,"Toronto, Ontario, Canada",Military - UK Royal Air Force,British Aerospace Nimrod MR-2P,7,0,7
09/02/1995,1995,"Beaver Dam, Arizona",Adventure Airlines,Cessna 421C Golden Eagle,8,7,1
09/09/1995,1995,"Near La Macarena, Colombia",SAETA,CASA 212 Aviocar 200,21,17,4
09/11/1995,1995,"Jalalabad, Afghanistan",Ariana Afghan Airlines,Antonov AN-26B,3,3,0
09/12/1995,1995,"Off Colombo, Sri Lanka",Military - Sri Lanka Air Force,Antonov AN-32,81,76,5
09/15/1995,1995,"Tawau,  Malaysia",Malaysia Airlines,Fokker 50,34,32,2
09/21/1995,1995,"Near Moron, Mongolia",MIAT - Mongolian Airlines,Antonov AN-24RV,42,36,6
09/22/1995,1995,"Anchorage, Alaska",Military - U.S. Air Force,Boeing B-707 (E-3B),24,20,4
09/24/1995,1995,"Sterligov Cape, Russia",Norilsk Flight Company,Mil Mi-8T,15,10,5
09/27/1995,1995,"Campbell River, British Columbia, Canada",Western Straits Air,De Havilland Dash-3,8,7,1
10/03/1995,1995,"Gunung Antara, Indonesia",Sabang Merauke Raya Air Charter,CASA 212,1,0,1
10/04/1995,1995,"Barskoon, Kirghizia",Kirghizia Aba Zaoldoru,Mil Mi-8MTV-1,15,12,3
11/09/1995,1995,"Near Luyaba, Argentina",Military - Fuerza Aerea Argentina,Fokker F-27 Friendship 500,53,48,5
11/13/1995,1995,"Kaduna, Nigeria",Nigeria Airways,Boeing B-737-2F9,9,9,0
11/22/1995,1995,"Off Jaffna Peninsula , Sri Lanka",Military - Sri Lanka Air Force,Antonov AN-32,63,57,6
11/29/1995,1995,"Off Labuan, Malaysia",Sabah Air,Bell 412,10,8,2
11/30/1995,1995,"Baku, Azerbaijan",Azerbaijan Airlines,Boeing 707-323C,2,0,2
12/03/1995,1995,"Near Douala, Cameroon",Cameroon Airlines,Boeing B-737-2K9,72,68,4
12/05/1995,1995,"Near Nakhichevan, Azerbaijan",Azerbaijan Airlines,Tupolev TU-134B-3,54,52,2
12/07/1995,1995,"Near Grossevichi, Russia",Far East Aviation,Tupolev TU-154B,98,90,8
12/13/1995,1995,"Verona  - Villafranca, Italy",Romanian Banat Air,Antonov AN-24B,49,41,8
12/18/1995,1995,"Cahungula, Angola",Trans Service Airlift,Lockheed L-188C Electra,141,137,4
12/20/1995,1995,"Near Buga, Valle del Cauca, Colombia",American Airlines,Boeing B-757-223,160,152,8
12/22/1995,1995,"Bagasin, Papua New Guinea",Island Airways,Britten Norman BN-2A-21 Trislander,2,1,1
01/08/1996,1996,"Off Bridgetown, Barbados",Mustique Airways,Britten-Norman BN-2A-27 Islander,1,1,0
01/08/1996,1996,"Kinshasa, Zaire",African Air,Antonov AN-32B,2,0,2
01/18/1996,1996,"Near Kano, Nigeria",Military - Nigerian Air Force,British Aerospace BAe-125-700B,14,10,4
02/04/1996,1996,"Asuncion, Paraguay",Lineas Aereas del Caribe,McDonnell Douglas DC-8-55F,4,1,3
02/05/1996,1996,"St. Johns, Arizona",Business Air Connection,ConvairCV-440,4,2,2
02/06/1996,1996,"Off Puerto Plata, Domincan Republic","Alas Nacionales, leased from Birgen Air",Boeing B-757-225,189,176,13
02/12/1996,1996,"Port-au-Prince, Hati",Hati Express,GAF Nomad N-24A,11,9,2
02/26/1996,1996,"Near Jabal Awliya, Sudan",Military - Sudanese Air Force,Lockheed C-130H,91,85,6
02/27/1996,1996,"Near Lukapa, Angola",Aero Tropical,Antonov 12BP,8,3,5
02/29/1996,1996,"Arequipa, Peru",Compania de Aviacion Faucett SA (Peru),Boeing B-737-222,123,117,6
03/12/1996,1996,"Karabogazgol Bay, Turkmenistan",Akhal Air,Mil Mi-8T (helicopter),12,9,3
04/03/1996,1996,"Near Dubrovnik, Croatia",Military - U.S. Air Force,Boeing B-737-T43,35,29,6
04/05/1996,1996,"Near Petropavlovsk, Russia",Krasnoyarskie Avialinii,Ilyushin IL-76TD,20,11,9
04/05/1996,1996,"Off Matsu Island, Taiwan",Formosa Airlines,Dornier 228-212,6,6,0
04/11/1996,1996,"Cheyenne, Wyoming",Private,Cessna 177B,3,2,1
05/03/1996,1996,"Near Haj Yousif, Sudan",Federal Airlines,Antonov AN-24,53,48,5
05/09/1996,1996,"Near Terrace, British Columbia, Canada",Buffalo Narrows Airways,De Havilland Canada DHC-3 Otter,2,0,2
05/10/1996,1996,"Otaez, Mexico",Aeroservicios Empresariales de Durango,De Havilland Canada DHC-6 Twin Otter 200,16,14,2
05/11/1996,1996,"Everglades, Miami, Florida",ValuJet,McDonnell Douglas DC-9-32,110,105,5
05/11/1996,1996,"Oumba, Papua New Guinea",Milne Bay Air,Britten Norman BN-2A-20 Trislander,1,1,0
05/19/1996,1996,"Griesta, United Kingdom",Loganair,Britten-Norman BN-2A-26 Islander,3,2,1
06/06/1996,1996,"Kinshasa, Democratic Republic Congo",Hoseba,Ilyushin 76MD,10,2,8
06/09/1996,1996,"Rasht, Iran",Iran Air,Boeing 727-286,7,0,7
06/13/1996,1996,"Fukuoka, Japan",Garuda Indonesia Airlines,McDonnell Douglas DC-10-30,3,3,0
06/21/1996,1996,"Shanghai, China",China Flying Dragon Aviation (Feilong Airlines),Harbin Yunshuji Y-12-II,2,1,1
07/06/1996,1996,"Pensacola, Florida",Delta Air Lines,McDonnell Douglas MD-88,2,2,0
07/09/1996,1996,"Papua, New Guinea",Milne Bay Air,De Havilland Canada DHC-6 Twin Otter 300,20,19,1
07/11/1996,1996,"Near Kanda, India",Archana Airlines,Let 410,9,6,3
07/15/1996,1996,"Near Eindhoven, The Netherlands",Military - Belgian Air Force,Lockheed C-130H,34,30,4
07/17/1996,1996,"Near Playa del Carmen, Mexico",Aerolatino (Aerocaribe),De Havilland Canada DHC-6 Twin Otter 300,1,1,0
